,Unnamed: 0,loss,val_acc,_timestamp,_time_this_iter_s,_training_iteration,time_this_iter_s,done,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/train_loop_config/FUSION_N,config/train_loop_config/SCALING_N,config/train_loop_config/batch_size,config/train_loop_config/dataset,config/train_loop_config/gamma,config/train_loop_config/lr,config/train_loop_config/momentum,config/train_loop_config/seed,logdir
11,3,0.9333667755126953,0.6694999933242798,1682381041,9.094346284866331,50,9.094581604003906,True,50,b38f6_F0001,81de8e43cff14981909b4a77ce8422c6,2023-04-25_08-04-01,1682381041,415.1490848064423,3223967,slabgpu03,10.100.79.96,415.1490848064423,0,50,0.1095912456512451,8,8,256,cifar10,0.32,0.013600000000000001,0.507,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0001_hydro_2023-04-25_07-57-03
12,3,1.8709791898727417,0.28919997811317444,1682381041,9.094346284866331,50,9.094581604003906,True,50,b38f6_F0001,81de8e43cff14981909b4a77ce8422c6,2023-04-25_08-04-01,1682381041,415.1490848064423,3223967,slabgpu03,10.100.79.96,415.1490848064423,0,50,0.1095912456512451,8,8,256,cifar10,0.31,0.0004,0.6940000000000001,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0001_hydro_2023-04-25_07-57-03
13,3,0.7181349396705627,0.7547000050544739,1682381041,9.094346284866331,50,9.094581604003906,True,50,b38f6_F0001,81de8e43cff14981909b4a77ce8422c6,2023-04-25_08-04-01,1682381041,415.1490848064423,3223967,slabgpu03,10.100.79.96,415.1490848064423,0,50,0.1095912456512451,8,8,256,cifar10,0.31,0.009600000000000001,0.988,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0001_hydro_2023-04-25_07-57-03
14,3,1.418442964553833,0.553600013256073,1682381041,9.094346284866331,50,9.094581604003906,True,50,b38f6_F0001,81de8e43cff14981909b4a77ce8422c6,2023-04-25_08-04-01,1682381041,415.1490848064423,3223967,slabgpu03,10.100.79.96,415.1490848064423,0,50,0.1095912456512451,8,8,256,cifar10,0.87,0.0952,0.734,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0001_hydro_2023-04-25_07-57-03
15,3,1.8803579807281494,0.25920000672340393,1682381041,9.094346284866331,50,9.094581604003906,True,50,b38f6_F0001,81de8e43cff14981909b4a77ce8422c6,2023-04-25_08-04-01,1682381041,415.1490848064423,3223967,slabgpu03,10.100.79.96,415.1490848064423,0,50,0.1095912456512451,8,8,256,cifar10,0.05,0.0008,0.557,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0001_hydro_2023-04-25_07-57-03
16,3,1.6328718662261963,0.3885999917984009,1682381041,9.094346284866331,50,9.094581604003906,True,50,b38f6_F0001,81de8e43cff14981909b4a77ce8422c6,2023-04-25_08-04-01,1682381041,415.1490848064423,3223967,slabgpu03,10.100.79.96,415.1490848064423,0,50,0.1095912456512451,8,8,256,cifar10,0.41000000000000003,0.0015,0.519,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0001_hydro_2023-04-25_07-57-03
17,3,0.7635226249694824,0.7376999855041504,1682381041,9.094346284866331,50,9.094581604003906,True,50,b38f6_F0001,81de8e43cff14981909b4a77ce8422c6,2023-04-25_08-04-01,1682381041,415.1490848064423,3223967,slabgpu03,10.100.79.96,415.1490848064423,0,50,0.1095912456512451,8,8,256,cifar10,0.33,0.0954,0.778,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0001_hydro_2023-04-25_07-57-03
18,3,1.058030366897583,0.6208999752998352,1682381041,9.094346284866331,50,9.094581604003906,True,50,b38f6_F0001,81de8e43cff14981909b4a77ce8422c6,2023-04-25_08-04-01,1682381041,415.1490848064423,3223967,slabgpu03,10.100.79.96,415.1490848064423,0,50,0.1095912456512451,8,8,256,cifar10,0.4,0.0011,0.931,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0001_hydro_2023-04-25_07-57-03
19,4,1.428552508354187,0.47099998593330383,1682381008,7.619777679443359,50,7.492901086807251,True,50,b38f6_F0002,41f89ba555d44badb180013ba1b86641,2023-04-25_08-03-28,1682381008,382.01077818870544,3223968,slabgpu03,10.100.79.96,382.01077818870544,0,50,0.1170616149902343,9,8,512,cifar10,0.46,0.0045000000000000005,0.615,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0002_hydro_2023-04-25_07-57-03
20,4,1.111045002937317,0.6310999989509583,1682381008,7.619777679443359,50,7.492901086807251,True,50,b38f6_F0002,41f89ba555d44badb180013ba1b86641,2023-04-25_08-03-28,1682381008,382.01077818870544,3223968,slabgpu03,10.100.79.96,382.01077818870544,0,50,0.1170616149902343,9,8,512,cifar10,0.28,0.43110000000000004,0.659,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0002_hydro_2023-04-25_07-57-03
